attributes,badge,barcode,categories,cost,created_at,currency,currency_symbol,display_order,formatted_price,formatted_sale_price,group_products,has_fields,has_options,html_url,id,images,is_draft,is_infinite,is_published,is_taxable,keywords,meta,metafields,name.ar,parent_id,price,product_class,purchase_restrictions.availability_period_end,purchase_restrictions.availability_period_start,purchase_restrictions.max_quantity_per_cart,purchase_restrictions.min_quantity_per_cart,purchase_restrictions.sale_price_period_end,purchase_restrictions.sale_price_period_start,quantity,rating.1_ratings.count,rating.1_ratings.percentage,rating.2_ratings.count,rating.2_ratings.percentage,rating.3_ratings.count,rating.3_ratings.percentage,rating.4_ratings.count,rating.4_ratings.percentage,rating.5_ratings.count,rating.5_ratings.percentage,rating.average,rating.total_count,related_products_settings,related_products_title.ar,related_products_title.en,requires_shipping,sale_price,seo.description.ar,seo.description.en,seo.title.ar,seo.title.en,short_description.ar,short_description.en,sku,slug,sold_products_count,stocks,store_id,structure,updated_at,videos,waiting_customers_count,weight.unit,weight.value
,,,"[{""id"": ""1421495"", ""name"": {""en"": """", ""ar"": ""اسلاك""}, ""slug"": ""اسلاك"", ""description"": {""en"": """", ""ar"": """"}, ""cover_image"": null, ""image"": null, ""display_order"": null, ""meta"": {""childs"": [], ""parents"": []}}]",0.0,2025-11-15T10:33:56.839743Z,SAR, SAR ,, SAR 0.00,,,False,False,https://m5dzci.zid.store/products/amazon-basics-usb-c-to-usb-a-20-fast-charger-cable-480mbps-speed-usb-if-certified,eb267de3-ec97-4174-85c9-aef10c30daa1,"[{""id"": ""f6e92f7b-47b7-427f-a19b-d6b130c169a7"", ""image"": {""medium"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/f6e92f7b-47b7-427f-a19b-d6b130c169a7-thumbnail-770x770.png"", ""full_size"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/f6e92f7b-47b7-427f-a19b-d6b130c169a7-thumbnail-1000x1000.png"", ""small"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/f6e92f7b-47b7-427f-a19b-d6b130c169a7-thumbnail-500x500.png"", ""large"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/f6e92f7b-47b7-427f-a19b-d6b130c169a7-thumbnail-1000x1000.png"", ""thumbnail"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/f6e92f7b-47b7-427f-a19b-d6b130c169a7-thumbnail-370x370.png""}, ""alt_text"": """", ""display_order"": 1, ""i18n_alt_text"": {""ar"": """", ""en"": """"}}]",False,False,True,True,,,,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified",,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTO_GENERATED,,,True,,,,,,,,Z.17632028368336728,amazon-basics-usb-c-to-usb-a-20-fast-charger-cable-480mbps-speed-usb-if-certified,,"[{""id"": ""3ec9c67a-968d-49f8-9831-975ded5001ef"", ""location"": {""id"": ""415617cc-efde-4720-a5d8-d7c25fed8ade"", ""name"": {""en"": ""سانبة""}, ""type"": ""PHYSICAL"", ""full_address"": ""6794 Ibn Abd Al Jabbar, 3902, An Nuzhah, Riyadh 12472, Saudi Arabia""}, ""available_quantity"": 0, ""is_infinite"": false}]",2803554,standalone,2025-11-15T10:56:02.721161Z,,,kg,
,,,"[{""id"": ""1421496"", ""name"": {""en"": """", ""ar"": ""افياش""}, ""slug"": ""افياش"", ""description"": {""en"": """", ""ar"": """"}, ""cover_image"": null, ""image"": null, ""display_order"": null, ""meta"": {""childs"": [], ""parents"": []}}]",0.0,2025-11-15T10:33:22.086216Z,SAR, SAR ,, SAR 123.00,,,False,False,https://m5dzci.zid.store/products/18w-pd-type-c-charger-usb-c-block-power-adapter-saudi-arabia,57a75154-32dd-4ab8-8440-11d7863c9ab1,"[{""id"": ""bd33a212-faf9-4264-9cc3-b0cc30ec3dbd"", ""image"": {""medium"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/bd33a212-faf9-4264-9cc3-b0cc30ec3dbd-thumbnail-770x770.png"", ""full_size"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/bd33a212-faf9-4264-9cc3-b0cc30ec3dbd-thumbnail-1000x1000.png"", ""small"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/bd33a212-faf9-4264-9cc3-b0cc30ec3dbd-thumbnail-500x500.png"", ""large"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/bd33a212-faf9-4264-9cc3-b0cc30ec3dbd-thumbnail-1000x1000.png"", ""thumbnail"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/bd33a212-faf9-4264-9cc3-b0cc30ec3dbd-thumbnail-370x370.png""}, ""alt_text"": """", ""display_order"": 1, ""i18n_alt_text"": {""ar"": """", ""en"": """"}}]",False,False,True,True,,,,"18W PD Type C Charger, USB c Block Power Adapter Saudi Arabia",,123.0,,,,,,,,32,0,0,0,0,0,0,0,0,0,0,0,0,AUTO_GENERATED,,,True,,,,,,,,Z.17632028020803308,18w-pd-type-c-charger-usb-c-block-power-adapter-saudi-arabia,,"[{""id"": ""18c712a2-e2b3-45e5-91f8-806fb281c085"", ""location"": {""id"": ""415617cc-efde-4720-a5d8-d7c25fed8ade"", ""name"": {""en"": ""سانبة""}, ""type"": ""PHYSICAL"", ""full_address"": ""6794 Ibn Abd Al Jabbar, 3902, An Nuzhah, Riyadh 12472, Saudi Arabia""}, ""available_quantity"": 32, ""is_infinite"": false}]",2803554,standalone,2025-11-15T10:57:03.526005Z,,,kg,
,,,"[{""id"": ""1421495"", ""name"": {""en"": """", ""ar"": ""اسلاك""}, ""slug"": ""اسلاك"", ""description"": {""en"": """", ""ar"": """"}, ""cover_image"": null, ""image"": null, ""display_order"": null, ""meta"": {""childs"": [], ""parents"": []}}]",0.0,2025-11-15T10:32:50.035274Z,SAR, SAR ,, SAR 0.00,,,False,False,https://m5dzci.zid.store/products/usb-c-to-usb-c-fast-charging-cable-type-c-charger-cord-1-m,10811dc4-2df0-4956-89c6-6f23bb59c68a,"[{""id"": ""af8d2b4c-56da-49b6-a30c-a12afca5d619"", ""image"": {""medium"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/af8d2b4c-56da-49b6-a30c-a12afca5d619-thumbnail-770x770.png"", ""full_size"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/af8d2b4c-56da-49b6-a30c-a12afca5d619-thumbnail-1000x1000.png"", ""small"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/af8d2b4c-56da-49b6-a30c-a12afca5d619-thumbnail-500x500.png"", ""large"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/af8d2b4c-56da-49b6-a30c-a12afca5d619-thumbnail-1000x1000.png"", ""thumbnail"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/af8d2b4c-56da-49b6-a30c-a12afca5d619-thumbnail-370x370.png""}, ""alt_text"": """", ""display_order"": 1, ""i18n_alt_text"": {""ar"": """", ""en"": """"}}]",False,False,True,True,,,,"USB C to USB C Fast Charging Cable, Type C Charger Cord (1 m)",,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTO_GENERATED,,,True,,,,,,,,Z.17632027700253286,usb-c-to-usb-c-fast-charging-cable-type-c-charger-cord-1-m,,"[{""id"": ""12d3760d-1e0b-4f07-9d40-1c9d6fe8eb64"", ""location"": {""id"": ""415617cc-efde-4720-a5d8-d7c25fed8ade"", ""name"": {""en"": ""سانبة""}, ""type"": ""PHYSICAL"", ""full_address"": ""6794 Ibn Abd Al Jabbar, 3902, An Nuzhah, Riyadh 12472, Saudi Arabia""}, ""available_quantity"": 0, ""is_infinite"": false}]",2803554,standalone,2025-11-15T10:56:34.289715Z,,,kg,
,,,"[{""id"": ""1421500"", ""name"": {""en"": """", ""ar"": ""جوال""}, ""slug"": ""جوال"", ""description"": {""en"": """", ""ar"": """"}, ""cover_image"": null, ""image"": null, ""display_order"": null, ""meta"": {""childs"": [], ""parents"": []}}]",0.0,2025-11-15T10:32:17.072406Z,SAR, SAR ,," SAR 4,384.00",,,False,False,https://m5dzci.zid.store/products/apple-iphone-16-pro-max-512gb-5g-desert-titanium,078fb441-ab6f-486a-a1db-4abd2e627bda,"[{""id"": ""513880d5-fcea-425e-999c-97bc0e00f447"", ""image"": {""medium"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/513880d5-fcea-425e-999c-97bc0e00f447-thumbnail-770x770.png"", ""full_size"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/513880d5-fcea-425e-999c-97bc0e00f447-thumbnail-1000x1000.png"", ""small"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/513880d5-fcea-425e-999c-97bc0e00f447-thumbnail-500x500.png"", ""large"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/513880d5-fcea-425e-999c-97bc0e00f447-thumbnail-1000x1000.png"", ""thumbnail"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/513880d5-fcea-425e-999c-97bc0e00f447-thumbnail-370x370.png""}, ""alt_text"": """", ""display_order"": 1, ""i18n_alt_text"": {""ar"": """", ""en"": """"}}]",False,False,True,True,,,,Apple iPhone 16 Pro Max 512GB 5G Desert Titanium,,4384.0,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,AUTO_GENERATED,,,True,,,,,,,,Z.17632027370669205,apple-iphone-16-pro-max-512gb-5g-desert-titanium,,"[{""id"": ""5ffd0f4d-4e13-4bad-b787-19977036acf5"", ""location"": {""id"": ""415617cc-efde-4720-a5d8-d7c25fed8ade"", ""name"": {""en"": ""سانبة""}, ""type"": ""PHYSICAL"", ""full_address"": ""6794 Ibn Abd Al Jabbar, 3902, An Nuzhah, Riyadh 12472, Saudi Arabia""}, ""available_quantity"": 12, ""is_infinite"": false}]",2803554,standalone,2025-11-15T11:02:33.349041Z,,,kg,
,,,"[{""id"": ""1421500"", ""name"": {""en"": """", ""ar"": ""جوال""}, ""slug"": ""جوال"", ""description"": {""en"": """", ""ar"": """"}, ""cover_image"": null, ""image"": null, ""display_order"": null, ""meta"": {""childs"": [], ""parents"": []}}]",0.0,2025-11-15T10:31:41.107890Z,SAR, SAR ,," SAR 3,879.00",,,False,False,https://m5dzci.zid.store/products/pixel-9-pro,08b9b372-5321-4ac4-88dd-d4c7b2934389,"[{""id"": ""197340cc-f4a1-42a6-8a7d-bacdcafc2531"", ""image"": {""medium"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/197340cc-f4a1-42a6-8a7d-bacdcafc2531-thumbnail-770x770.png"", ""full_size"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/197340cc-f4a1-42a6-8a7d-bacdcafc2531-thumbnail-1000x1000.png"", ""small"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/197340cc-f4a1-42a6-8a7d-bacdcafc2531-thumbnail-500x500.png"", ""large"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/197340cc-f4a1-42a6-8a7d-bacdcafc2531-thumbnail-1000x1000.png"", ""thumbnail"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/197340cc-f4a1-42a6-8a7d-bacdcafc2531-thumbnail-370x370.png""}, ""alt_text"": """", ""display_order"": 1, ""i18n_alt_text"": {""ar"": """", ""en"": """"}}]",False,False,True,True,,,,pixel 9 pro,,3879.0,,,,,,,,23,0,0,0,0,0,0,0,0,0,0,0,0,AUTO_GENERATED,,,True,,,,,,,,Z.1763202701083994,pixel-9-pro,,"[{""id"": ""9c162fa4-4dcf-45db-997d-d0fb95ca54d4"", ""location"": {""id"": ""415617cc-efde-4720-a5d8-d7c25fed8ade"", ""name"": {""en"": ""سانبة""}, ""type"": ""PHYSICAL"", ""full_address"": ""6794 Ibn Abd Al Jabbar, 3902, An Nuzhah, Riyadh 12472, Saudi Arabia""}, ""available_quantity"": 23, ""is_infinite"": false}]",2803554,standalone,2025-11-15T11:03:13.645989Z,,,kg,
,,,"[{""id"": ""1421500"", ""name"": {""en"": """", ""ar"": ""جوال""}, ""slug"": ""جوال"", ""description"": {""en"": """", ""ar"": """"}, ""cover_image"": null, ""image"": null, ""display_order"": null, ""meta"": {""childs"": [], ""parents"": []}}]",0.0,2025-11-15T10:31:10.049422Z,SAR, SAR ,, SAR 0.00,,,False,False,https://m5dzci.zid.store/products/mobile-phones-buy-best-price-in-saudi-arabia-riyadh-jeddah-medina-dammam-mecca,72985910-b7e3-46b1-8c40-24e0e6c0209f,"[{""id"": ""b0de7244-f61e-4506-8828-a0fb6f922861"", ""image"": {""medium"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/b0de7244-f61e-4506-8828-a0fb6f922861-thumbnail-770x770.png"", ""full_size"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/b0de7244-f61e-4506-8828-a0fb6f922861-thumbnail-1000x1000.png"", ""small"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/b0de7244-f61e-4506-8828-a0fb6f922861-thumbnail-500x500.png"", ""large"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/b0de7244-f61e-4506-8828-a0fb6f922861-thumbnail-1000x1000.png"", ""thumbnail"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/b0de7244-f61e-4506-8828-a0fb6f922861-thumbnail-370x370.png""}, ""alt_text"": """", ""display_order"": 1, ""i18n_alt_text"": {""ar"": """", ""en"": """"}}]",False,False,True,True,,,,"Mobile Phones Buy, Best Price in Saudi Arabia, Riyadh, Jeddah, Medina, Dammam, Mecca",,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTO_GENERATED,,,True,,,,,,,,Z.17632026700376124,mobile-phones-buy-best-price-in-saudi-arabia-riyadh-jeddah-medina-dammam-mecca,,"[{""id"": ""49fbf54a-03f4-4e52-b212-f35f0e31585c"", ""location"": {""id"": ""415617cc-efde-4720-a5d8-d7c25fed8ade"", ""name"": {""en"": ""سانبة""}, ""type"": ""PHYSICAL"", ""full_address"": ""6794 Ibn Abd Al Jabbar, 3902, An Nuzhah, Riyadh 12472, Saudi Arabia""}, ""available_quantity"": 0, ""is_infinite"": false}]",2803554,standalone,2025-11-15T11:03:41.177033Z,,,kg,
,,,"[{""id"": ""1421500"", ""name"": {""en"": """", ""ar"": ""جوال""}, ""slug"": ""جوال"", ""description"": {""en"": """", ""ar"": """"}, ""cover_image"": null, ""image"": null, ""display_order"": null, ""meta"": {""childs"": [], ""parents"": []}}]",0.0,2025-11-15T10:30:19.135210Z,SAR, SAR ,," SAR 1,231.00",,,False,False,https://m5dzci.zid.store/products/cell-phonessmartphonem80-mobile-phoneunlocked-fingerprint67inch,5181c31e-7155-4af5-86ab-706bc5ed1a35,"[{""id"": ""7d8fc549-8800-4b0f-83aa-f1d101897a7e"", ""image"": {""medium"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/7d8fc549-8800-4b0f-83aa-f1d101897a7e-thumbnail-770x770.png"", ""full_size"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/7d8fc549-8800-4b0f-83aa-f1d101897a7e-thumbnail-1000x1000.png"", ""small"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/7d8fc549-8800-4b0f-83aa-f1d101897a7e-thumbnail-500x500.png"", ""large"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/7d8fc549-8800-4b0f-83aa-f1d101897a7e-thumbnail-1000x1000.png"", ""thumbnail"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/7d8fc549-8800-4b0f-83aa-f1d101897a7e-thumbnail-370x370.png""}, ""alt_text"": """", ""display_order"": 1, ""i18n_alt_text"": {""ar"": """", ""en"": """"}}, {""id"": ""a748a6f5-4e1e-4344-a949-1d1300422417"", ""image"": {""medium"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/a748a6f5-4e1e-4344-a949-1d1300422417-thumbnail-770x770.png"", ""full_size"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/a748a6f5-4e1e-4344-a949-1d1300422417-thumbnail-1000x1000.png"", ""small"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/a748a6f5-4e1e-4344-a949-1d1300422417-thumbnail-500x500.png"", ""large"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/a748a6f5-4e1e-4344-a949-1d1300422417-thumbnail-1000x1000.png"", ""thumbnail"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/a748a6f5-4e1e-4344-a949-1d1300422417-thumbnail-370x370.png""}, ""alt_text"": """", ""display_order"": 2, ""i18n_alt_text"": {""ar"": """", ""en"": """"}}]",False,False,True,True,,,,"Cell Phones,Smartphone,M80 Mobile Phone,Unlocked Fingerprint,6.7inch",,1231.0,,,,,,,,23,0,0,0,0,0,0,0,0,0,0,0,0,AUTO_GENERATED,,,True,,,,,,,,Z.17632026191260989,cell-phonessmartphonem80-mobile-phoneunlocked-fingerprint67inch,,"[{""id"": ""79220445-9c90-47b8-810f-c2541f9e1135"", ""location"": {""id"": ""415617cc-efde-4720-a5d8-d7c25fed8ade"", ""name"": {""en"": ""سانبة""}, ""type"": ""PHYSICAL"", ""full_address"": ""6794 Ibn Abd Al Jabbar, 3902, An Nuzhah, Riyadh 12472, Saudi Arabia""}, ""available_quantity"": 23, ""is_infinite"": false}]",2803554,standalone,2025-11-15T11:04:07.897357Z,,,kg,
,,,"[{""id"": ""1421503"", ""name"": {""en"": """", ""ar"": ""شاحن متنقل""}, ""slug"": ""شاحن-متنقل"", ""description"": {""en"": """", ""ar"": """"}, ""cover_image"": null, ""image"": null, ""display_order"": null, ""meta"": {""childs"": [], ""parents"": []}}]",0.0,2025-11-15T10:29:57.964942Z,SAR, SAR ,, SAR 0.00,,,False,False,https://m5dzci.zid.store/products/belkin-10000mah-portable-power-bank-10k-usb-c-portable-charger-with-1-usb-c-port-and,658ce765-f9a8-4502-ae2f-ca312c66107c,,False,False,True,True,,,,"Belkin 10000mAh portable power bank, 10K USB, C portable charger with 1 USB, C port and",,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTO_GENERATED,,,True,,,,,,,,Z.17632025979585936,belkin-10000mah-portable-power-bank-10k-usb-c-portable-charger-with-1-usb-c-port-and,,"[{""id"": ""75691839-6ba0-47e0-bdf5-d8b64246d98d"", ""location"": {""id"": ""415617cc-efde-4720-a5d8-d7c25fed8ade"", ""name"": {""en"": ""سانبة""}, ""type"": ""PHYSICAL"", ""full_address"": ""6794 Ibn Abd Al Jabbar, 3902, An Nuzhah, Riyadh 12472, Saudi Arabia""}, ""available_quantity"": 0, ""is_infinite"": false}]",2803554,standalone,2025-11-15T11:04:45.456175Z,,,kg,
,,,"[{""id"": ""1421503"", ""name"": {""en"": """", ""ar"": ""شاحن متنقل""}, ""slug"": ""شاحن-متنقل"", ""description"": {""en"": """", ""ar"": """"}, ""cover_image"": null, ""image"": null, ""display_order"": null, ""meta"": {""childs"": [], ""parents"": []}}]",0.0,2025-11-15T10:29:28.271785Z,SAR, SAR ,, SAR 412.00,,,False,False,https://m5dzci.zid.store/products/sandberg-powerbank-usb-c-pd-130w-50000-420-75-sandberg-as,3f743ba9-142f-4031-9413-a1dfb2014a5f,"[{""id"": ""121057b8-6b98-468c-8aab-289815af7423"", ""image"": {""medium"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/121057b8-6b98-468c-8aab-289815af7423-thumbnail-770x770.png"", ""full_size"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/121057b8-6b98-468c-8aab-289815af7423-thumbnail-1000x1000.png"", ""small"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/121057b8-6b98-468c-8aab-289815af7423-thumbnail-500x500.png"", ""large"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/121057b8-6b98-468c-8aab-289815af7423-thumbnail-1000x1000.png"", ""thumbnail"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/121057b8-6b98-468c-8aab-289815af7423-thumbnail-370x370.png""}, ""alt_text"": """", ""display_order"": 1, ""i18n_alt_text"": {""ar"": """", ""en"": """"}}]",False,False,True,True,,,,Sandberg Powerbank USB-C PD 130W 50000 (420-75) - Sandberg A/S,,412.0,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,AUTO_GENERATED,,,True,,,,,,,,Z.17632025682664013,sandberg-powerbank-usb-c-pd-130w-50000-420-75-sandberg-as,,"[{""id"": ""5413651f-4679-4fc5-bbd8-4066f398ff6d"", ""location"": {""id"": ""415617cc-efde-4720-a5d8-d7c25fed8ade"", ""name"": {""en"": ""سانبة""}, ""type"": ""PHYSICAL"", ""full_address"": ""6794 Ibn Abd Al Jabbar, 3902, An Nuzhah, Riyadh 12472, Saudi Arabia""}, ""available_quantity"": 12, ""is_infinite"": false}]",2803554,standalone,2025-11-15T11:05:01.473441Z,,,kg,
,,,"[{""id"": ""1421503"", ""name"": {""en"": """", ""ar"": ""شاحن متنقل""}, ""slug"": ""شاحن-متنقل"", ""description"": {""en"": """", ""ar"": """"}, ""cover_image"": null, ""image"": null, ""display_order"": null, ""meta"": {""childs"": [], ""parents"": []}}]",0.0,2025-11-15T10:28:17.031653Z,SAR, SAR ,, SAR 0.00,,,False,False,https://m5dzci.zid.store/products/anker-nano-power-bank-charger-fast-battery-charging-10000-mah-jarir-bookstore-ksa,81107303-8ae9-4608-b75f-985bc9140955,"[{""id"": ""8ffadf65-260f-4732-9240-d07904a38c50"", ""image"": {""medium"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/8ffadf65-260f-4732-9240-d07904a38c50-thumbnail-770x770.png"", ""full_size"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/8ffadf65-260f-4732-9240-d07904a38c50-thumbnail-1000x1000.png"", ""small"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/8ffadf65-260f-4732-9240-d07904a38c50-thumbnail-500x500.png"", ""large"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/8ffadf65-260f-4732-9240-d07904a38c50-thumbnail-1000x1000.png"", ""thumbnail"": ""https://media.zid.store/thumbs/3ab89d17-1995-4644-b0c5-9ac827c86945/8ffadf65-260f-4732-9240-d07904a38c50-thumbnail-370x370.png""}, ""alt_text"": """", ""display_order"": 1, ""i18n_alt_text"": {""ar"": """", ""en"": """"}}]",False,False,True,True,,,,Anker Nano Power Bank Charger Fast Battery Charging 10000 mAh - Jarir Bookstore KSA,,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTO_GENERATED,,,True,,,,,,,,Z.17632024970251365,anker-nano-power-bank-charger-fast-battery-charging-10000-mah-jarir-bookstore-ksa,,"[{""id"": ""e07d2d84-bbe3-4135-9a6f-4835e04b0f1d"", ""location"": {""id"": ""415617cc-efde-4720-a5d8-d7c25fed8ade"", ""name"": {""en"": ""سانبة""}, ""type"": ""PHYSICAL"", ""full_address"": ""6794 Ibn Abd Al Jabbar, 3902, An Nuzhah, Riyadh 12472, Saudi Arabia""}, ""available_quantity"": 0, ""is_infinite"": false}]",2803554,standalone,2025-11-15T11:05:20.548254Z,,,kg,
